id,name,desc_short,desc
11,المُتَكَبِّرُ,المتكبر: هو المتعالى عن صفات الخلق المنفرد بالعظمة والكبرياء.,"    المتكبر ذو الكبرياء
    هو كمال الذات وكمال الوجود والكبرياء والعظمة بمعنى واحد
    فلا كبرياء لسواه
    وهو المتفرد بالعظمة والكبرياء
    المتعالى عن صفات الخلق
    الذى تكبر عما يوجب نقصا أو حاجة
    أو المتعالى عن صفات المخلوقات بصفاته وذاته
    كل من رأى العظمة والكبرياء لنفسه على الخصوص دون غيره حيث يرى نفسه أفضل الخلق مع أن الناس فى الحقوق سواء
    كانت رؤيته كاذبة وباطلة إلا لله تعالى"
12,الخَالِقُ,الخالق: هو الفاطر المبدع لكل شيء، والمقدر له والموجد للأشياء من العدم، فهو خالق كل صانع وصنعته.,"    الخلق فى اللغة بمعنى الإنشاء
    أو النصيب لوافر من الخير والصلاح
    والخالق فى صفات الله تعالى هو الموجد للأشياء
    المبدع المخترع لها على غير مثال سبق
    وهو الذى قدر الأشياء وهى فى طوايا لعدم
    وكملها بمحض الجود والكرم
    وأظهرها وفق إرادته ومشيئته وحكمته
    والله الخالق من حيث التقدير أولا
    والبارىء للإيجاد وفق التقدير
    والمصور لترتيب الصور بعد الأيجاد
    ومثال ذلك الإنسان
    فهو أولا يقدر ما منه موجود
    فيقيم الجسد
    ثم يمده بما يعطيه الحركة والصفات التى تجعله إنسانا عاقلا"
13,البَارِىءُ,البارىء: هو الذي خلق الخلق بقدرته لا عن مثال سابق، القادر على إبراز ما قدره إلى الوجود.,"    البارئ: تقول اللغة البارىء من البرء
    وهو خلوص الشىء من غيره
    مثل أبرأه الله من مرضه .
    البارىء فىاسماء الله تعالى هو الذى خلق الخلق لا عن مثال
    والبرء أخص من الخلق فخلق الله السموات والأرض
    وبرأ الله النسمة كبرأ الله آدم من طين
    البارىء الذى يبرىء جوهر المخلوقات من الأفات
    وهو موجود الأشياء بريئة من التفاوت وعدم التناسق
    وهو معطى كل مخلوق صفته التى علمها له فى الأزل
    وبعض العلماء يقول ان اسم البارىء يدعى به للسلامة
 من الأفات ومن أكثر من ذكره نال السلامة من المكروه."
14,المُصَوِّرُ,المصور: هو الذي صور جميع الموجودات، ورتبها فأعطى كل شيء منها صورة خاصة، وهيئة منفردة، يتميز بها على اختلافها وكثرتها.,"    تقول اللغة التصوير هو جعل الشىء على صورة والصورة هى الشكل والهيئة
    المصور من أسماء الله الحسنى هو مبدع صور المخلوقات ومزينها بحكمته
    ومعطى كل مخلوق صورته على ما أقتضت حكمته الأزلية
    وكذلك صور الله الناس فى الأرحام أطوارا وتشكيل بعد تشكيل
    وكما قال الله نعالى ( ولقد خلقنا الإنسان من سلالة من طين ثم جعلناه نطفة فى قرار مكين
    ثم خلقنا النطفة علقة فخلقنا العلقة مضغة فخلقنا المضغة عظاما فكسونا العظام لحما ثم أنشأناه خلقا آخر فتبارك الله أحسن الخالقين )
    وكما يظهر حسن التصوير فى البدن تظهر حقيقة الحسن أتم وأكمل فى باب الأخلاق
    ولم يمن الله تعالى على رسوله صلى الله عليه وسلم كما من عليه بحسن الخلق حيث قال ( وإنك لعلى خلق عظيم )
    وكما تتعدد صور الابدان تتعدد صور الأخلاق والطباع"
15,الغَفَّارُ,الغفار: هو وحده الذي يغفر الذنوب ويستر العيوب في الدنيا والآخرة.,"    فى اللغة الغفر والغفران : الستر وكل شىء سترته فقد غفرته
    والغفار من أسماء الله الحسنى هى ستره للذنوب
    وعفوه عنها بفضله ورحمنه
    لا بتوبة العباد وطاعتهم
    وهو الذى اسبل الستر على الذنوب فى الدنيا وتجاوز عن عقوبتها فى الآخرة
    وهو الغافر والغفور والغفار
    والغفور أبلغ من الغافر
    والغفار أبلغ من الغفور
    وأن أول ستر الله على العبد أم جعل مقابح بدنه مستورة فى باطنه
    وجعل خواطره وارادته القبيحة فى أعماق قلبه وإلا مقته الناس
    فستر الله عوراته .
    وينبغى للعبد التأدب بأدب الإسم العظيم فيستر عيوب اخوانه ويغفو عنهم ومن الحديث
    من لزم الاستغفار جعل الله له من كل هم فرجا ومن كل ضيق مخرجا ورزقه من حيث لا يحتسب"
16,القَهَّارُ,القهار: هو الغالب الذي قهر خلقه بسلطانه وقدرته، وصرفهم على ما أراد طوعا وكرها، وخضع لجلاله كل شيء.,"    القهر فى اللغة هو الغلبة والتذليل معا
    وهو الإستيلاء على الشىء فىالظاهر والباطن
    والقاهر والقهار من صفات الله تعالى وأسمائه
    والقهار مبالغة فى القاهر فالله هو الذى يقهر خلقه بسلطانه وقدرته
    هو الغالب جميع خلقه رضوا أم كرهوا
    قهر الانسان على النوم
    واذا أراد المؤمن التخلق بخلق القهار فعليه أن يقهر نفسه حتى تطيع أوامر ربها و يقهر الشيطان و الشهوة و الغضب .
    روى أن أحد العارفين دخل على سلطان فرآه يذب ذبابة عن وجهه
    كلما طردها عادت
    فسال العارف : لم خلق الله الذباب ؟ فأجابه العارف : ليذل به الجبابرة"
17,الوَهَّابُ,الوهاب: هو المنعم على العباد، الذي يهب بغير عوض ويعطي الحاجة بغير سؤال، كثير النعم، دائم العطاء.,"
    الهبة أن تجعل ملكك لغيرك دون عوض
    ولها ركننان أحدهما التمليك
    والأخر بغير عوض
    والواهب هو المعطى
    والوهاب مبالغة من الوهب
    والوهاب والواهب من أسماء الله الحسنى
    يعطى الحاجة بدون سؤال
    ويبدأ بالعطية والله كثير النعم"
18,الرَّزَّاقُ,الرزاق: هو الذي خلق الأرزاق وأعطى كل الخلائق أرزاقها، ويمد كل كائن لما يحتاجه، ويحفظ عليه حياته ويصلحه.,"
    الرزاق من الرزق وهو معطى الرزق ولا تقال إلا لله تعالى .
    والأرزاق نوعان، ' ظاهرة ' للأبدان ' كالأكل و ' باطنة ' للقلوب والنفوس كالمعارف والعلوم
    والله اذا أراد بعبده خيرا رزقه علما هاديا ويدا منفقة متصدقة وإذا أحب عبدا أكثر حوائج الخلق اليه
    وإذا جعله واسطة بينه وبين عباده فى وصول الأرزاق اليهم نال حظا من اسم الرزاق
    قال النبى صلى الله عليه وسلم ( ما أحد أصبر على أذى سمعه من الله يدّعون له الولد ثم يعافيهم ويرزقهم )
    وأن من اسباب سعة الرزق المحافظة على الصلاة والصبر عليها"
19,الفَتَّاحُ,الفتاح: هو الذي يفتح مغلق الأمور، ويسهل العسير، وبيده مفاتيح السماوات والأرض.,"    الفتح ضد الغلق وهو أيضا النصر والاستفتاح هو الاستنصار
    والفتاح مباغة فى الفتح وكلها من أسماء الله تعالى
    الفتاح هو الذى بعنايته ينفتح كل مغلق
    وبهدايته ينكشف كل مشكل فتارة يفتح الممالك لأنبيائه
    وتارة يرفع الحجاب عن قلوب أوليائه ويفتح لهم الأبواب الى ملكوت سمائها
    ومن بيده مفاتيح الغيب ومفاتيح الرزق
    وسبحانه يفتح للعاصين أبواب مغفرته و يفتح أبواب الرزق للعباد"
20,العَلِيمُ,العليم: هو الذي يعلم تفاصيل الأمور، ودقائق الأشياء وخفايا الضمائر، والنفوس، لا يغرب عن ملكه مثقال ذرة، فعلمه يحيط بجميع الأشياء.,"    العليم لفظ مشتق من العلم
    وهوأدراك الشىء بحقيقته
    وسبحانه العليم هو المبالغ فى العلم
    فعلمه شامل لجميع المعلومات محيط بها
    سابق على وجودها
    لا تخفى عليه خافية ظاهرة وباطنة
    دقيقة وجليلة أوله وآخره
    عنده علم الغيب وعلم الساعة
    يعلم ما فى الأرحام
    ويعلم ما تكسب كل نفس
    ويعلم بأى أرض تموت .
    والعبد إذا أراد الله له الخير وهبه هبة العلم
    والعلم له طغيان أشد من طغيان المال ويلزم الأنسان الا يغتر بعلمه
    روى أن جبريل قال لخليل الله ابراهيم وهوفى محنته ( هل لك من حاجة ) فقال أبراهيم
    ( أما اليك فلا ) فقال له جبريل ( فاسأل الله تعالى ) فقال ابراهيم ( حسبى من سؤالى علمه بحالى ) .
    ومن علم أنه سبحانه وتعالى العليم أن يستحى من الله ويكف عن معاصيه ومن عرف أن الله عليم بحاله صبر على بليته وشكر عطيته وأعتذر عن قبح خطيئته"
21,القَابِضُ,القابض: هو الذي يقبض الرزق عمن يشاء من الخلق بعدله.,"    القبض هو الأخذ وجمع الكف على شىء و قبضه ضد بسطه
    الله القابض معناه الذى يقبض النفوس بقهره والأرواح بعدله والأرزاق بحكمته
    والقلوب بتخويفها من جلاله . والقبض نعمة من الله تعالى على عباده
    فإذا قبض الأرزاق عن انسان توجه بكليته لله يستعطفه
    وإذا قبض القلوب فرت داعية فى تفريج ما عندها
    فهو القابض الباسط
    وهناك أنواع من القبض الأول : القبض فى الرزق والثانى : القبض فى السحاب كما قال تعالى
    ( الله الذى يرسل السحاب فيبسطه فى السماء كيف يشاء ويجعله كسفا فترى الودق يخرج من خلاله فاذا أصاب به من يشاء من عباده اذا هم يستبشرون )
    الثالث : فى الظلال والأنوار والله يقول
    ( ألم ترى الى ربك كيف مد الظل ولو شاء لجعله ساكنا ثم جعلنا الشمس عليه دليلا ثم قبضناه الينا قبضا يسيرا )
    الرابع : قبض الأرواح الخامس : قبض الأرض قال تعالى
    ( وما قدروا الله حق قدره والأرض جميعا قبضته يوم القيامة والسموات مطويات بيمينه سبحانه وتعالى عما يشركون )
    السادس قبض الصدقات السابع: قبض القلوب"
22,البَاسِطُ," الباسط:هو الذي  يوسع الرزق لمن يشاء من عباده بجوده ورحمته.","    بسط بالسين أو بالصاد هى نشره ، ومده ، وسره ،
    الباسط من أسماء الله الحسنى معناه الموسع للأرزاق لمن شاء من عباده ،
    وأيضا هو مبسط النفوس بالسرور والفرح ،
    وقيل : الباسط الذى يبسط الرزق للضعفاء ،
    ويبسط الرزق للأغنياء حتى لا يبقى فاقة ،
    ويقبضه عن الفقراء حتى لا تبقى طاقة .
    يذكر اسم القابض والباسط معا ، لا يوصف الله بالقبض دون البسط ،
    يعنى لا يوصف بالحرمان دون العطاء ، ولا بالعطاء دون الحرمان"
23,الخَافِضُ,الخافض : هو الذي يخفض الأذلال لكل من طغى وتجبر وخرج على شريعته وتمرد.,"    الخفض ضد الرفع ، وهو الانكسار واللين
    الله الخافض الذى يخفض بالأذلال أقواما ويخفض الباطل
    والمذل لمن غضب عليه ، ومسقط الدرجات لمن استحق
    وعلى المؤمن أن يخفض عنده ابليس وأهل المعاصى
    وأن يخفض جناح الذل من الرحمة لوالديه والمؤمنين"
24,الرَّافِعُ,الرافع:هو الذي يرفع عباده المؤمنين بالطاعات وهو رافع السماوات.," الرافع سبحانه هو الذى يرفع اوليائه بالنصر
ويرفع الصالحين بالتقرب
ويرفع الحق ، ويرفع المؤمنين بالإسعاد
والرفع يقال تارة فى الأجسام الموضوعة إذا أعليتها عن مقرها
كقوله تعالى
( الذى رفع السموات بغير عمد ترونها )
وتارة فى البناء إذا طولته كقوله تعالى
( وإذ يرفع ابراهيم القواعد من البيت واسماعيل )
وتارة فى الذكر كقوله تعالى
( ورفعنا لك ذكرا ' )
وتارة فى المنزلة اذا شرفتها كقوله تعالى
ورفعنا بعضهم فوق بعض درجات "
25,المُعِزُّ,المعز : هو الذي يهب القوة والغلبة والشدة لمن شاء فيعزه.,"    المعز هو الذى يهب العز لمن يشاء
    الله العزيز لأنه الغالب القوى الذى لا يغلب
    وهوالذى يعز الأنبياء بالعصمة والنصر
    ويعز الأولياء بالحفظ والوجاهه
    ويعز المطيع ولو كان فقيرا
    ويرفع التقى ولو كان عبد حبشيا
    وقد اقترن اسم العزيز باسم الحكيم
    والقوى
    وذى الأنتقام
    والرحيم
    والوهاب
    والغفار والغفور
    والحميد
    والعليم
    والمقتدر
    والجبار
    وقد ربط الله العز بالطاعة
    فهى طاعة ونور وكشف حجاب
    وربط سبحانه الذل بالمعصية
    فهى معصية وذل وظلمة وحجاب بينك وبين الله سبحانه
    والأصل فى اعزاز الحق لعباده يكون بالقناعة
    والبعد عن الطمع"
26,المُذِلُّ,المذل:  هو اللذي ينزع القوة والغلبة والشدةعمن يشاء فيذله.,"    الذل ما كان عن قهر والدابة الذلول هى المنقادة غير متصعبة
    والمذل هو الذى يلحق الذل بمن يشاء من عباده
    إن من مد عينه الى الخلق حتى أحتاج اليهم
    وسلط عليه الحرص حتى لا يقنع بالكفاية
    واستدرجه بمكره حتى اغتر بنفسه فقد أذله وسلبه
    وذلك صنع الله تعالى
    يعز من يشاء ويذل من يشاء والله يذل الأنسان الجبار بالمرض أو بالشهوة أو بالمال أو بالاحتياج الى سواه
    ما أعز الله عبد بمثل ما يذله على ذل نفسه
    وما أذل الله عبدا بمثل ما يشغله بعز نفسه
    وقال تعالى ولله العزة ولرسوله وللمؤمنين"
27,السَّمِيعُ,السميع: هو الذي لا يخفى عليه شيء في الأرض ولا في السماء وهو السميع البصير.,"      الله هو السميع
    أى المتصف بالسمع لجميع الموجودات دون حاسة أو آلة
    هو السميع لنداء المضطرين
    وحمد الحامدين  وخطرات القلوب وهواجس النفوس
    و مناجاة الضمائر ويسمع كل نجوى
    ولا يخفى عليه شىء فى الأرض أو فى السماء
    لا يشغله نداء عن نداء
    ولا يمنعه دعاء عن دعاء
    وقد يكون السمع بمعنى القبول كقول النبى عليه الصلاة والسلام :
    اللهم إنى أعوذ بك من قول لا يسمع
    أو يكون بمعنى الإدراك كقوله تعالى قد سمع الله قول التى تجادلك فى زوجها .
    أو بمعنى فهم وعقل مثل قوله تعالى
    لا تقولوا راعنا قولوا نظرنا واسمعوا
    أو بمعنى الانقياد كقوله تعالى
    سماعون للكذب
    وينبغى للعبد أن يعلم أن الله لم يخلق له السمع إلا ليسمع كلام الله الذى أنزله على نبيه فيستفيد به الهداية
    إن العبد إذا تقرب الى ربه بالنوافل أحبه الله فأفاض على سمعه نورا تنفذ به بصيرته الى ما وراء المادة"
28,البَصِيرُ,البصير: هو الذي يرى الأشياء كلها ظاهرها وباطنها وهو المحيط بكل المبصرات.,"    البصر هو العين
    أو حاسة الرؤية
    والبصيرة عقيدة القلب
    والبصير هو الله تعالى
    يبصر خائنة الأعين وما تخفى الصدور
    الذى يشاهد الأشياء كلها
    ظاهرها وخافيها
    البصير لجميع الموجدات دون حاسة أو آلة
    وعلى العبد أن يعلم أن الله خلق له البصر لينظر به الى الآيات وعجائب الملكوت ويعلم أن الله يراه ويسمعه وقال رسول الله صلى الله عليه وسلم :
    ( الإحسان أن تعبد الله كأنك تراه فإن لم تره فإنه يراك )
    روى أن بعض الناس قال لعيسى بن مريم عليه السلام: هل أجد من الخلق مثلك
    فقال : من كان نظره عبرة
    ويقظته فكره
    وكلامه ذكرا فهو مثلى"
29,الحَكَمُ,الحكم: هو الذي يفصل بين مخلوقاته بما شاء ويفصل بين الحق والباطل لا راد لقضائه ولا معقب لحكمه.,"
    الحكم لغويا بمعنى المنع
    والحكم اسم من السماء الله الحسنى
    هو صاحب الفصل بين الحق والباطل
    والبار والفاجر
    والمجازى كل نفس بما عملت
    والذى يفصل بين مخلوقاته بما شاء
    المميز بين الشقى والسعيد بالعقاب والثواب .
    والله الحكم لا راد لقضائه
    ولا راد لقضائه ولا معقب لحكمه
    لا يقع فى وعده ريب ولا فى فعله غيب
    وقال تعالى : واتبع ما يوحى اليك واصبر حتى يحكم الله وهو خير الحاكمين
    قال الرسول عليه الصلاة والسلام : ( من عرف سر الله فى القدر هانت عليه المصائب )
    وحظ العبد من هذا الاسم الشريف أن تكون حاكما على غضبك فلا تغضب على من أساء اليك
    وأن تحكم على شهوتك إلا ما يسره الله لك
    ولا تحزن على ما تعسر وتجعل العقل تحت سلطان الشرع
    ولا تحكم حكما حتى تأخذ الأذن من الله تعالى الحكم العدل"
